S-10B Google 0 0.4293785310734463 S: 30, I: 2, D: 44
S-10B Kaldi 0 0.24858757062146894 S: 21, I: 2, D: 21
S-10B Google 1 0.3894736842105263 S: 63, I: 5, D: 43
S-10B Kaldi 1 0.23859649122807017 S: 49, I: 2, D: 17
S-10B Google 2 0.2917933130699088 S: 48, I: 4, D: 44
S-10B Kaldi 2 0.2006079027355623 S: 39, I: 5, D: 22
S-10B Google 3 0.2939189189189189 S: 48, I: 2, D: 37
S-10B Kaldi 3 0.20945945945945946 S: 42, I: 3, D: 17
S-10B Google 4 0.31685393258426964 S: 83, I: 3, D: 55
S-10B Kaldi 4 0.21348314606741572 S: 65, I: 5, D: 25
S-10B Google 5 0.257847533632287 S: 58, I: 10, D: 47
S-10B Kaldi 5 0.17040358744394618 S: 45, I: 13, D: 18
S-10B Google 6 0.30246913580246915 S: 27, I: 0, D: 22
S-10B Kaldi 6 0.19135802469135801 S: 14, I: 2, D: 15
S-10B Google 7 0.3080168776371308 S: 54, I: 2, D: 17
S-10B Kaldi 7 0.24050632911392406 S: 39, I: 0, D: 18
S-10B Google 8 0.28346456692913385 S: 49, I: 0, D: 23
S-10B Kaldi 8 0.18110236220472442 S: 26, I: 5, D: 15
S-21A Google 0 0.6653846153846154 S: 73, I: 0, D: 100
S-21A Kaldi 0 0.4653846153846154 S: 66, I: 1, D: 54
S-21A Google 1 0.5934065934065934 S: 62, I: 0, D: 100
S-21A Kaldi 1 0.3956043956043956 S: 62, I: 2, D: 44
S-21A Google 2 0.6275510204081632 S: 45, I: 1, D: 77
S-21A Kaldi 2 0.3877551020408163 S: 46, I: 7, D: 23
S-21A Google 3 0.6224719101123596 S: 125, I: 2, D: 150
S-21A Kaldi 3 0.3797752808988764 S: 88, I: 4, D: 77
S-21A Google 4 0.62426614481409 S: 136, I: 4, D: 179
S-21A Kaldi 4 0.44422700587084146 S: 118, I: 15, D: 94
S-21A Google 5 0.6423357664233577 S: 74, I: 5, D: 97
S-21A Kaldi 5 0.4197080291970803 S: 57, I: 2, D: 56
S-21A Google 6 0.6213592233009708 S: 22, I: 0, D: 42
S-21A Kaldi 6 0.4368932038834951 S: 19, I: 0, D: 26
S-21A Google 7 0.6111111111111112 S: 8, I: 0, D: 14
S-21A Kaldi 7 0.3333333333333333 S: 8, I: 0, D: 4
S-21A Google 8 0.46153846153846156 S: 7, I: 0, D: 11
S-21A Kaldi 8 0.28205128205128205 S: 6, I: 2, D: 3
S-21A Google 9 0.7380952380952381 S: 13, I: 0, D: 18
S-21A Kaldi 9 0.5 S: 10, I: 0, D: 11
S-21A Google 10 0.4972375690607735 S: 40, I: 0, D: 50
S-21A Kaldi 10 0.2983425414364641 S: 27, I: 2, D: 25
S-21A Google 11 0.6404494382022472 S: 44, I: 0, D: 70
S-21A Kaldi 11 0.47752808988764045 S: 39, I: 0, D: 46
S-7C Google 0 0.3228228228228228 S: 114, I: 10, D: 91
S-7C Kaldi 0 0.22522522522522523 S: 95, I: 12, D: 43
S-7C Google 1 0.3824175824175824 S: 106, I: 8, D: 60
S-7C Kaldi 1 0.25274725274725274 S: 83, I: 14, D: 18
S-7C Google 2 0.3003731343283582 S: 79, I: 5, D: 77
S-7C Kaldi 2 0.23134328358208955 S: 84, I: 16, D: 24
S-7C Google 3 0.41098169717138106 S: 111, I: 6, D: 130
S-7C Kaldi 3 0.2795341098169717 S: 98, I: 4, D: 66
S-7C Google 4 0.3480278422273782 S: 73, I: 2, D: 75
S-7C Kaldi 4 0.25754060324825984 S: 61, I: 11, D: 39
S-7C Google 5 0.3665594855305466 S: 103, I: 5, D: 120
S-7C Kaldi 5 0.25241157556270094 S: 93, I: 17, D: 47
S-19C Google 0 0.5581395348837209 S: 60, I: 1, D: 59
S-19C Kaldi 0 0.4 S: 49, I: 12, D: 25
S-19C Google 1 0.6702127659574468 S: 10, I: 0, D: 53
S-19C Kaldi 1 0.5319148936170213 S: 30, I: 1, D: 19
S-19C Google 2 0.47577092511013214 S: 51, I: 3, D: 54
S-19C Kaldi 2 0.29955947136563876 S: 34, I: 9, D: 25
S-19C Google 3 0.6229508196721312 S: 34, I: 2, D: 40
S-19C Kaldi 3 0.4672131147540984 S: 34, I: 3, D: 20
S-19C Google 4 0.5283018867924528 S: 71, I: 2, D: 67
S-19C Kaldi 4 0.3283018867924528 S: 51, I: 2, D: 34
S-19C Google 5 0.58125 S: 42, I: 2, D: 49
S-19C Kaldi 5 0.4625 S: 42, I: 7, D: 25
S-19C Google 6 0.4639175257731959 S: 22, I: 0, D: 23
S-19C Kaldi 6 0.4020618556701031 S: 23, I: 5, D: 11
S-19C Google 7 0.40625 S: 15, I: 1, D: 10
S-19C Kaldi 7 0.375 S: 18, I: 3, D: 3
S-19C Google 8 0.3283582089552239 S: 11, I: 0, D: 11
S-19C Kaldi 8 0.22388059701492538 S: 12, I: 0, D: 3
S-19C Google 9 0.5189873417721519 S: 18, I: 0, D: 23
S-19C Kaldi 9 0.4430379746835443 S: 18, I: 1, D: 16
S-19C Google 10 0.45161290322580644 S: 5, I: 0, D: 9
S-19C Kaldi 10 0.1935483870967742 S: 3, I: 1, D: 2
S-19C Google 11 0.6229508196721312 S: 19, I: 0, D: 19
S-19C Kaldi 11 0.5901639344262295 S: 25, I: 1, D: 10
S-27C Google 0 0.3969465648854962 S: 67, I: 0, D: 89
S-27C Kaldi 0 0.22137404580152673 S: 49, I: 7, D: 31
S-27C Google 1 0.2971246006389776 S: 31, I: 2, D: 60
S-27C Kaldi 1 0.16293929712460065 S: 26, I: 7, D: 18
S-27C Google 2 0.3688760806916426 S: 38, I: 2, D: 88
S-27C Kaldi 2 0.1585014409221902 S: 38, I: 4, D: 13
S-27C Google 3 0.3624454148471616 S: 50, I: 9, D: 107
S-27C Kaldi 3 0.19868995633187772 S: 46, I: 13, D: 32
S-27C Google 4 0.35725429017160687 S: 91, I: 3, D: 135
S-27C Kaldi 4 0.1606864274570983 S: 57, I: 6, D: 40
S-27C Google 5 0.33298969072164947 S: 128, I: 6, D: 189
S-27C Kaldi 5 0.21649484536082475 S: 124, I: 11, D: 75
S-27C Google 6 0.3881578947368421 S: 17, I: 0, D: 42
S-27C Kaldi 6 0.2236842105263158 S: 15, I: 2, D: 17
S-27C Google 7 0.29411764705882354 S: 5, I: 0, D: 10
S-27C Kaldi 7 0.13725490196078433 S: 4, I: 0, D: 3
S-27C Google 8 0.47368421052631576 S: 21, I: 0, D: 24
S-27C Kaldi 8 0.29473684210526313 S: 18, I: 3, D: 7
S-27C Google 9 0.3584905660377358 S: 9, I: 3, D: 26
S-27C Kaldi 9 0.2169811320754717 S: 13, I: 3, D: 7
S-27C Google 10 0.4418604651162791 S: 7, I: 0, D: 12
S-27C Kaldi 10 0.32558139534883723 S: 8, I: 0, D: 6
S-27C Google 11 0.46 S: 14, I: 1, D: 31
S-27C Kaldi 11 0.27 S: 12, I: 0, D: 15
S-23C Google 0 0.31901840490797545 S: 26, I: 0, D: 26
S-23C Kaldi 0 0.19631901840490798 S: 24, I: 1, D: 7
S-23C Google 1 0.458128078817734 S: 48, I: 1, D: 44
S-23C Kaldi 1 0.3251231527093596 S: 44, I: 3, D: 19
S-23C Google 2 0.42613636363636365 S: 40, I: 7, D: 28
S-23C Kaldi 2 0.3465909090909091 S: 19, I: 20, D: 22
S-23C Google 3 0.5694444444444444 S: 69, I: 1, D: 53
S-23C Kaldi 3 0.4166666666666667 S: 65, I: 3, D: 22
S-23C Google 4 0.45625 S: 89, I: 4, D: 126
S-23C Kaldi 4 0.27291666666666664 S: 72, I: 8, D: 51
S-23C Google 5 0.35051546391752575 S: 37, I: 1, D: 64
S-23C Kaldi 5 0.22336769759450173 S: 35, I: 4, D: 26
S-23C Google 6 0.36585365853658536 S: 3, I: 0, D: 12
S-23C Kaldi 6 0.1951219512195122 S: 5, I: 0, D: 3
S-23C Google 7 0.32857142857142857 S: 16, I: 0, D: 7
S-23C Kaldi 7 0.17142857142857143 S: 8, I: 1, D: 3
S-23C Google 8 0.38372093023255816 S: 15, I: 1, D: 17
S-23C Kaldi 8 0.32558139534883723 S: 15, I: 4, D: 9
S-23C Google 9 0.34782608695652173 S: 6, I: 0, D: 2
S-23C Kaldi 9 0.30434782608695654 S: 5, I: 2, D: 0
S-23C Google 10 0.6521739130434783 S: 13, I: 0, D: 17
S-23C Kaldi 10 0.30434782608695654 S: 13, I: 0, D: 1
S-23C Google 11 0.4489795918367347 S: 30, I: 2, D: 34
S-23C Kaldi 11 0.22448979591836735 S: 18, I: 2, D: 13
S-6B Google 0 0.5531914893617021 S: 40, I: 1, D: 37
S-6B Kaldi 0 0.4326241134751773 S: 40, I: 5, D: 16
S-6B Google 1 0.43414634146341463 S: 44, I: 2, D: 43
S-6B Kaldi 1 0.32195121951219513 S: 45, I: 6, D: 15
S-6B Google 2 0.3146853146853147 S: 49, I: 1, D: 40
S-6B Kaldi 2 0.15384615384615385 S: 25, I: 2, D: 17
S-6B Google 3 0.413265306122449 S: 42, I: 0, D: 39
S-6B Kaldi 3 0.25 S: 29, I: 7, D: 13
S-6B Google 4 0.28169014084507044 S: 58, I: 6, D: 56
S-6B Kaldi 4 0.1784037558685446 S: 45, I: 11, D: 20
S-6B Google 5 0.2777777777777778 S: 63, I: 7, D: 65
S-6B Kaldi 5 0.10905349794238683 S: 28, I: 6, D: 19
S-5A Google 0 0.5352422907488987 S: 104, I: 1, D: 138
S-5A Kaldi 0 0.3590308370044053 S: 105, I: 17, D: 41
S-5A Google 1 0.4956896551724138 S: 44, I: 1, D: 70
S-5A Kaldi 1 0.3017241379310345 S: 42, I: 5, D: 23
S-5A Google 2 0.44165435745937964 S: 132, I: 9, D: 158
S-5A Kaldi 2 0.29246676514032494 S: 113, I: 21, D: 64
S-5A Google 3 0.42528735632183906 S: 60, I: 1, D: 87
S-5A Kaldi 3 0.2413793103448276 S: 50, I: 6, D: 28
S-5A Google 4 0.41846153846153844 S: 53, I: 3, D: 80
S-5A Kaldi 4 0.23076923076923078 S: 43, I: 5, D: 27
S-5A Google 5 0.48268839103869654 S: 114, I: 1, D: 122
S-5A Kaldi 5 0.2892057026476578 S: 84, I: 7, D: 51
S-11C Google 0 0.27692307692307694 S: 18, I: 2, D: 34
S-11C Kaldi 0 0.16923076923076924 S: 23, I: 3, D: 7
S-11C Google 1 0.42038216560509556 S: 19, I: 0, D: 47
S-11C Kaldi 1 0.2356687898089172 S: 24, I: 2, D: 11
S-11C Google 2 0.26344086021505375 S: 55, I: 0, D: 43
S-11C Kaldi 2 0.1827956989247312 S: 42, I: 5, D: 21
S-11C Google 3 0.26785714285714285 S: 37, I: 0, D: 68
S-11C Kaldi 3 0.19387755102040816 S: 42, I: 4, D: 30
S-11C Google 4 0.22807017543859648 S: 70, I: 3, D: 57
S-11C Kaldi 4 0.10526315789473684 S: 35, I: 2, D: 23
S-11C Google 5 0.2237354085603113 S: 58, I: 3, D: 54
S-11C Kaldi 5 0.11478599221789883 S: 30, I: 8, D: 21
S-11C Google 6 0.28708133971291866 S: 33, I: 1, D: 26
S-11C Kaldi 6 0.20095693779904306 S: 26, I: 4, D: 12
S-11C Google 7 0.26171875 S: 36, I: 1, D: 30
S-11C Kaldi 7 0.12890625 S: 20, I: 0, D: 13
S-11C Google 8 0.2621359223300971 S: 13, I: 1, D: 13
S-11C Kaldi 8 0.18446601941747573 S: 10, I: 5, D: 4
S-16D Google 0 0.26058631921824105 S: 43, I: 2, D: 35
S-16D Kaldi 0 0.2280130293159609 S: 49, I: 8, D: 13
S-16D Google 1 0.22023809523809523 S: 45, I: 1, D: 65
S-16D Kaldi 1 0.19047619047619047 S: 61, I: 8, D: 27
S-16D Google 2 0.27364864864864863 S: 30, I: 1, D: 50
S-16D Kaldi 2 0.23986486486486486 S: 49, I: 7, D: 15
S-16D Google 3 0.21544715447154472 S: 46, I: 2, D: 58
S-16D Kaldi 3 0.16260162601626016 S: 49, I: 12, D: 19
S-16D Google 4 0.2537313432835821 S: 37, I: 2, D: 63
S-16D Kaldi 4 0.18159203980099503 S: 51, I: 2, D: 20
S-16D Google 5 0.24579124579124578 S: 27, I: 1, D: 45
S-16D Kaldi 5 0.22895622895622897 S: 51, I: 7, D: 10
S-16D Google 6 0.4067796610169492 S: 16, I: 0, D: 32
S-16D Kaldi 6 0.3474576271186441 S: 24, I: 8, D: 9
S-16D Google 7 0.32142857142857145 S: 6, I: 1, D: 11
S-16D Kaldi 7 0.2857142857142857 S: 13, I: 2, D: 1
S-16D Google 8 0.26515151515151514 S: 14, I: 0, D: 21
S-16D Kaldi 8 0.18181818181818182 S: 16, I: 1, D: 7
S-16D Google 9 0.4666666666666667 S: 2, I: 0, D: 12
S-16D Kaldi 9 0.43333333333333335 S: 10, I: 1, D: 2
S-16D Google 10 0.35 S: 7, I: 1, D: 6
S-16D Kaldi 10 0.25 S: 8, I: 1, D: 1
S-16D Google 11 0.22784810126582278 S: 4, I: 0, D: 14
S-16D Kaldi 11 0.22784810126582278 S: 11, I: 6, D: 1
S-16D Google 12 0.26666666666666666 S: 3, I: 0, D: 9
S-16D Kaldi 12 0.24444444444444444 S: 9, I: 2, D: 0
S-20D Google 0 0.5136186770428015 S: 59, I: 1, D: 72
S-20D Kaldi 0 0.39299610894941633 S: 59, I: 8, D: 34
S-20D Google 1 0.40264026402640263 S: 70, I: 2, D: 50
S-20D Kaldi 1 0.264026402640264 S: 45, I: 7, D: 28
S-20D Google 2 0.46381578947368424 S: 55, I: 1, D: 85
S-20D Kaldi 2 0.3125 S: 66, I: 3, D: 26
S-20D Google 3 0.415929203539823 S: 44, I: 3, D: 47
S-20D Kaldi 3 0.38495575221238937 S: 58, I: 0, D: 29
S-20D Google 4 0.3608815426997245 S: 139, I: 10, D: 113
S-20D Kaldi 4 0.28236914600550966 S: 144, I: 19, D: 42
S-20D Google 5 0.39903846153846156 S: 71, I: 3, D: 92
S-20D Kaldi 5 0.28365384615384615 S: 77, I: 8, D: 33
S-20D Google 6 0.7941176470588235 S: 4, I: 0, D: 23
S-20D Kaldi 6 0.7647058823529411 S: 20, I: 1, D: 5
S-20D Google 7 0.717391304347826 S: 17, I: 0, D: 16
S-20D Kaldi 7 0.5652173913043478 S: 21, I: 2, D: 3
S-20D Google 8 0.5 S: 6, I: 0, D: 4
S-20D Kaldi 8 0.35 S: 4, I: 0, D: 3
S-20D Google 9 0.47435897435897434 S: 21, I: 2, D: 14
S-20D Kaldi 9 0.5512820512820513 S: 23, I: 11, D: 9
S-20D Google 10 0.52 S: 28, I: 2, D: 22
S-20D Kaldi 10 0.46 S: 33, I: 5, D: 8
S-20D Google 11 0.5211267605633803 S: 26, I: 1, D: 10
S-20D Kaldi 11 0.4225352112676056 S: 21, I: 4, D: 5
S-29A Google 0 0.30165289256198347 S: 27, I: 2, D: 44
S-29A Kaldi 0 0.15702479338842976 S: 23, I: 2, D: 13
S-29A Google 1 0.2972027972027972 S: 24, I: 1, D: 60
S-29A Kaldi 1 0.2097902097902098 S: 32, I: 3, D: 25
S-29A Google 2 0.4020618556701031 S: 19, I: 0, D: 98
S-29A Kaldi 2 0.1718213058419244 S: 20, I: 1, D: 29
S-29A Google 3 0.31210191082802546 S: 31, I: 1, D: 66
S-29A Kaldi 3 0.1751592356687898 S: 26, I: 2, D: 27
